# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Nov  4 06:33:20 2024
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
#
pl_name,default_flag,pl_controv_flag,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim
11 Com b,0,0,,,,,5434.70000,540.30000,-413.20000,0,17.10000,1.70000,-1.30000,0
11 Com b,0,0,,,,,6165.60000,476.70000,-476.70000,0,19.40000,1.50000,-1.50000,0
11 Com b,1,0,,,,,4914.89849,39.09289,-39.72855,0,15.46400,0.12300,-0.12500,0
11 UMi b,1,0,,,,,4684.81420,794.57500,-794.57500,0,14.74000,2.50000,-2.50000,0
11 UMi b,0,0,,,,,3432.40000,381.40000,-413.20000,0,10.80000,1.20000,-1.30000,0
11 UMi b,0,0,,,,,3337.07000,785.01000,-785.01000,0,10.50000,2.47000,-2.47000,0
14 And b,1,0,,,,,1131.15130,36.23244,-38.77507,0,3.55900,0.11400,-0.12200,0
14 And b,0,0,,,,,1017.00000,127.10000,-190.70000,0,3.20000,0.40000,-0.60000,0
14 And b,0,0,,,,,1525.50000,,,0,4.80000,,,0
14 Her b,0,0,,,,,1474.67000,60.39000,-60.39000,0,4.64000,0.19000,-0.19000,0
14 Her b,0,0,,,,,1581.13800,,,0,4.97500,,,0
14 Her b,1,0,,,,,2559.47216,518.69596,-280.64248,0,8.05300,1.63200,-0.88300,0
14 Her b,0,0,,,,,1481.08780,47.67450,-47.67450,0,4.66000,0.15000,-0.15000,0
14 Her b,0,0,,,,,1506.45000,19.07000,-19.07000,0,4.74000,0.06000,-0.06000,0
14 Her b,0,0,,,,,1541.46777,47.67426,-47.67426,0,4.85000,0.15000,-0.15000,0
14 Her b,0,0,,,,,1554.12000,,,0,4.89000,,,0
14 Her b,0,0,,,,,1440.66300,,,0,4.53300,,,0
16 Cyg B b,0,0,,,,,556.83537,17.16273,-16.84491,0,1.75200,0.05400,-0.05300,0
16 Cyg B b,0,0,,,,,533.95440,47.67450,-47.67450,0,1.68000,0.15000,-0.15000,0
16 Cyg B b,0,0,,,,,476.70000,,,0,1.50000,,,0
16 Cyg B b,0,0,,,,,533.93000,22.25000,-22.25000,0,1.68000,0.07000,-0.07000,0
16 Cyg B b,0,0,,,,,533.93000,22.25000,-22.25000,0,1.68000,0.07000,-0.07000,0
16 Cyg B b,1,0,,,,,565.73740,25.42640,-25.42640,0,1.78000,0.08000,-0.08000,0
17 Sco b,1,0,,,,,1373.01872,47.67426,-38.13941,0,4.32000,0.15000,-0.12000,0
18 Del b,0,0,,,,,3273.50000,,,0,10.30000,,,0
18 Del b,1,0,,,,,2926.24614,50.85255,-24.47279,0,9.20700,0.16000,-0.07700,0
18 Del b,0,0,,,,,3127.30000,95.30000,-95.30000,0,9.84000,0.30000,-0.30000,0
1RXS J160929.1-210524 b,0,0,,,,,4000.00000,300.00000,-300.00000,0,12.00000,1.00000,-1.00000,0
1RXS J160929.1-210524 b,1,0,,,,,3000.00000,300.00000,-300.00000,0,8.00000,1.00000,-1.00000,0
1RXS J160929.1-210524 b,0,0,,,,,3000.00000,1000.00000,-700.00000,0,8.00000,3.00000,-2.00000,0
1RXS J160929.1-210524 b,0,0,18.647,,,0,2543.00000,1271.00000,-636.00000,0,8.00000,4.00000,-2.00000,0
24 Boo b,0,0,,,,,289.22530,41.31790,-31.78300,0,0.91000,0.13000,-0.10000,0
24 Boo b,1,0,,,,,280.64248,11.44182,-13.66662,0,0.88300,0.03600,-0.04300,0
24 Sex b,1,0,,,,,632.46000,82.63000,-120.77000,0,1.99000,0.26000,-0.38000,0
24 Sex c,1,0,,,,,273.32000,111.24000,-69.92000,0,0.86000,0.35000,-0.22000,0
2M0437 b,1,0,,,,,1271.31363,317.82841,-317.82841,0,4.00000,1.00000,-1.00000,0
2MASS J01033563-5515561 AB b,1,0,,,,,4131.79000,317.83000,-317.83000,0,13.00000,1.00000,-1.00000,0
2MASS J01225093-2439505 b,0,0,11.209,,,0,,,,,,,,
2MASS J01225093-2439505 b,1,0,,,,,7786.50000,794.50000,-794.50000,0,24.50000,2.50000,-2.50000,0
2MASS J02192210-3925225 b,1,0,16.141,0.336,-0.336,0,4417.83700,349.61300,-349.61300,0,13.90000,1.10000,-1.10000,0
2MASS J0249-0557 c,1,0,,,,,3686.80952,413.17693,-317.82841,0,11.60000,1.30000,-1.00000,0
2MASS J03590986+2009361 b,1,0,,,,,5720.91133,317.82841,-317.82841,0,18.00000,1.00000,-1.00000,0
2MASS J04414489+2301513 b,1,0,,,,,2383.60000,794.50000,-794.50000,0,7.50000,2.50000,-2.50000,0
2MASS J11011926-7732383 b,1,0,,,,,8899.19540,3178.28407,-2224.79885,0,28.00000,10.00000,-7.00000,0
2MASS J11550485-7919108 b,1,0,,,,,6356.56814,317.82841,-317.82841,0,20.00000,1.00000,-1.00000,0
2MASS J12073346-3932539 b,1,0,,,,,1589.15000,635.66000,-635.66000,0,5.00000,2.00000,-2.00000,0
2MASS J12073346-3932539 b,0,0,,,,,1271.00000,318.00000,-318.00000,0,4.00000,1.00000,-1.00000,0
2MASS J19383260+4603591 b,1,0,,,,,591.16084,15.89142,-15.89142,0,1.86000,0.05000,-0.05000,0
2MASS J19383260+4603591 b,0,0,,,,,603.87700,31.78300,-31.78300,0,1.90000,0.10000,-0.10000,0
2MASS J21252752-8138278 b,1,0,,,,,3813.94088,317.82841,-317.82841,0,12.00000,1.00000,-1.00000,0
2MASS J22362452+4751425 b,1,0,,,,,3972.87500,476.74500,-476.74500,0,12.50000,1.50000,-1.50000,0
30 Ari B b,0,0,,,,,3140.03000,298.75000,-298.75000,0,9.88000,0.94000,-0.94000,0
30 Ari B b,0,0,,,,,2097.67800,286.04700,-286.04700,0,6.60000,0.90000,-0.90000,0
30 Ari B b,1,0,,,,,4392.41060,572.09400,-572.09400,0,13.82000,1.80000,-1.80000,0
4 UMa b,1,0,,,,,2511.48007,63.24785,-120.13914,0,7.90200,0.19900,-0.37800,0
4 UMa b,0,0,,,,,2256.50000,508.50000,-508.50000,0,7.10000,1.60000,-1.60000,0
42 Dra b,1,0,,,,,1233.13000,270.14000,-270.14000,0,3.88000,0.85000,-0.85000,0
